Program: Program Name,Partner Status,Program Description,Program Duration,Service Type,Where does your program take place?,Primary Service Area,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Account Name
Peer Group Model,Active,"Students will be selected and brought to an Alternative Peer Group Model (APG) which will discuss ways to prevent risky behavior whether it is addiction to drugs, porn or risk of STD's and pregnancy. Their focus is on addiction.

Has licensed chemical dependency counselors who will be working with students.

Can be every day during an enrichment period. Depends on principals
No financial criteria. FREE.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",11140 Greenbay Street,Houston,Texas,77024,Teen and Family Services
TAPS Clubs,Active,"The Teen and Police Service Academy?s (TAPS Academy) goal is to reduce the social distance between at-risk youth and law enforcement. This goal is being accomplished through learning, interaction and discussion between at-risk youth and the law enforcement personnel that serve their communities. Through this program, TAPS students and law enforcement personnel gain valuable insight about each other and the issues they face on a daily basis.
TAPS Clubs were recently developed and are a condensed version of TAPS Academy. The program is implemented in specialized high school curriculum. In this peer-to-peer environment, TAPS Club students become campus leaders",,Pull out - Deliver services by pulling out students from class,On School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)","TAPS (Teen and Police Service)
2726 Bissonnet #240",Houston,TX,77005,Teen and Police Service Academy (TAPS)
TAPS for Non-Credit Class,Active,Same as for credit but middle school can also participate.,,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)","TAPS (Teen and Police Service)
2726 Bissonnet #240",Houston,TX,77005,Teen and Police Service Academy (TAPS)
TAPS For Credit Class,Active,Students receive high school credit for taking this class. It is an electice credit (local).,,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)","TAPS (Teen and Police Service)
2726 Bissonnet #240",Houston,TX,77005,Teen and Police Service Academy (TAPS)
Group Counseling,Active,,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",,,,,Test Counseling Center
Test Individual Counseling,Active,Couseling to kids in need,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",,,,,Test Counseling Center
Wellness Center,Active,Free counseling for students and parents. Mental health needs will be addressed.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",6440 Hillcroft Ave. #411,Houston,,77081,The Alliance for Multicultural Community Services
Wellness Center,Active,"Individual, group, psycho-education workshops",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",6440 Hillcroft Ave. #411,Houston,,77081,The Alliance for Multicultural Community Services
Kijana Youth Program,Active,"For over fourteen years, The Alliance?s Kijana Youth Program has provided services to create opportunities for refugee and immigrant youth to achieve academic success and to cultivate valuable leadership skills. Our tutors provide academic tutoring, math/science labs, and computer lessons to over 240 students in the Gulfton area of Southwest Houston each year. In addition to academic support, Kijana tutors also involve the students in various cultural, team-building, and leadership activities, including physical recreation, art projects, music and dance, field trips, and volunteer projects.

During the school year, the Kijana Youth Program provides a safe environment for youth during the after-school hours of 3pm to 7pm, and during the summer from 10am to 2pm.",Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",6440 Hillcroft Ave. #411,Houston,,77081,The Alliance for Multicultural Community Services
The Ambassador Initiative - 2016-2017,Active,,,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",P.O. Box 925162,Houston,TX,77292,The Ambassador Initiative
Ambassador Initiative Group,Active,"The Ambassador Initiative asks schools to allow us to align character development content, such as The Medal of Honor Foundation's Character Development Lessons, Ken Blanchard's Student Situational Self Leadership, Character First Curriculum, and other contents into classrooms' activities, meeting the State's teaching objectives.
 We recruit, train, mobilize, and support volunteer men and women from the school's surrounding community (professionals, retirees, faith leaders, etc.) to ""teach"" the content to students, in class, during the school day, in small mentoring groups, separated by gender, by building relationships with students and having open and honest conversations about he subject matter (objective truths).",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",P.O. Box 925162,Houston,TX,77292,The Ambassador Initiative
Chauncy Glover Project Mentoring/Tutoring,Active,"The Chauncy Glover Project (CGP) is an extensive, hands-on mentoring program, created to groom inner city teenage boys into upstanding and accomplished gentlemen. The program focuses on education, manhood, self-empowerment, financial responsibility, etiquette, college readiness and more. The CGP Gents and Young Gents and the mentors gather one Saturday a month for empowerment sessions. These sessions include extensive training focused on: college preparedness, personal grooming, etiquette, financial responsibility, job readiness, and more. CGP also provides special cultural, arts, and team-building activities. In addition to empowerment sessions, the young men also engage in monthly group tutoring sessions, community service activities and cultural enrichment trips.",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,Off School Campus,Community Development,5340 Weslayan St # 272921,Houston,,77277-4136,The Chauncy Glover Project
Tutoring,Active,Provide tutoring services as needed on elementary school campuses.,,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",16623 Hafer Road,Houston,TX,77090-4401,The Church of Jesus Christ of Latter- Day Saints
All Stars,Active,"All stars is  a research based program that has been developed to build brighter futures. The sessions are designed to facilitate an environment for participants to actively engage in meaningful discussions about planning for the future,  avoiding at-risk behaviors, developing good character, and several other topics.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)",313 Jackson Hill St,Houston,,77007,The Council on Recovery
Foster Grandparents Program of Harris County,Active,"The Foster Grandparent Program (FGP) is one of the three programs of the federally funded Senior Corps. The Foster Grandparent Program offers older adults age 55 and older opportunities to serve as mentors, tutors and caregivers for children and youth with special and exceptional needs.
Volunteers share their love and wisdom with children and youth in the Harris County community. Foster Grandparents must be 55 years of age or older, meet income eligibility requirements and be interested in working with children.
Foster Grandparents volunteer a minimum of 20 hours a week and on special assignments volunteers can serve up to 40 hours per week.",Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",5601 S. Braeswood,Houston,,77096,The Foster Grandparent Program of Harris County
Crisis Hotline,Active,"24-hour Crisis Line: 713-970-7000, press 1",,Referral out - Deliver services off-site,Off School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",9401 Southwest Freeway,Houston,TX,77074,The Harris Center
Clinic Mental Health Services,Active,"For Referral to off site.

For Children and Adolescents 3-17 Years of Age

Parents/legal guardians should bring their children and/or adolescents for whom they are seeking services to The Harris Center's Southwest Children's Clinic located at 9401 Southwest Freeway, 4th floor, Houston, 77074, from 7:30 a.m. - 3:00 p.m. on Monday-Friday. No appointment is needed, and walk-ins are processed until daily slots are filled on a first-come, first-served basis.

For Adults

Adults may visit any of The Harris Center?s four outpatient clinics from 7:30 a.m. - 3:00 p.m. on Monday-Friday. No appointment is needed, and walk-ins are processed until daily slots are filled on a first-come, first-served basis. 

The clinics are located at:
Northwest Community Service Center, 3737 Dacoma, 77092
Northeast Community Service Center, 7200 North Loop East Freeway, 77028
Southwest Community Service Center, 9401 Southwest Freeway, 3rd Floor, 77074
Southeast Community Service Center, 5901 Long Drive, 77087
*Adults on parole or probation may visit the New START Clinic located at 6032 Airline Dr., 77076",,Referral out - Deliver services off-site,Off School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",9401 Southwest Freeway,Houston,TX,77074,The Harris Center
Mental Health Counseling,Active,Harris Center will work with students and do pull outs on school campuses for mental health support.,,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",9401 Southwest Freeway,Houston,TX,77074,The Harris Center
Bible Study,Active,,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",4800 Calhoun Rd,Houston,,77004,The Impact Movement Houston
Orientation Service Project,Active,Big service event for the veterans where over 300+ show up to fulfill the wishlist of different schools. This will take place in October. We have applied and are waiting response.,,,,Community Development,2929 McKinney Suite A,Houston,MO,77003,The Mission Continues
Back to School Bash,Active,"Veterans will be doing school supply drives for the return of students to school. This will take place August 19th, 2017.",,,,Community Development,2929 McKinney Suite A,Houston,MO,77003,The Mission Continues
Intern,Active,"ProLinks are given an intern to work with. They are flexible with what they can do but essentially they are to help with capacity and help augment ProLink's work. They are essentially a 2nd ProLink on campus.

Year 17-18, we will have Sparkle Hayes (McGowen) and Tiffany Carvalho (Kashmere HS)",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,Community Development,2929 McKinney Suite A,Houston,MO,77003,The Mission Continues
Be the Peace Be the Hope,Active,"Be the Peace ? Be the Hope empowers children and teachers in-at risk environments by building resilience and self-reliance and inspiring Hope and Peace through education and  positive interaction.
The program accomplishes its mission by:
a. providing social and emotional healing arts workshops and create a safe place where a positive transformation can happen in the students' lives while they are regaining a sense of Hope.
b. creating a safe and inclusive place where the youth can connect as a community?
c.  building a platform where children can encourage and give Hope to other  children who live in more desperate situations (such as refugees)

Be the Peace ? Be the Hope is led and supported by:

1- An international team of educators, therapists, artists, social workers, and community advocates.

2- Decades of combined experience in the educational, healing art, self-development, and community development fields.

3-  A collective of prominent Houston and International organizations including NGOs; Cultural Institutions; Community and Artistic  non-profits; Private Institutions: IEDA Relief, UNA-USA, Texan-French  Alliance for the Arts, Volunteer Houston, FotoFest International, David  Lynch Foundation, HISD, CFISD, Harris County Public Library, City of  Houston, Innovate At Work, The Center for the Healing Arts & Sciences",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",777 Post Oak Blvd. 6th floor,Houston,,77056,The Texan French Alliance for the Arts / Be the Peace - Be the Hope
Earn and Learn,Active,"equipped students with the necessities to acquire a summer job. The student will take courses and become certified in resume writing, dress for interview.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",4615 Southwest Freeway,Houston,,77027,The Westfield Employment Services
Power Up The Heat,Active,"Mentoring group for girls and will be covering a lot of different topics:
Healthy Relationships
Positive Thinking
Goal Setting
Perseverance/Resiliency
Alcohol, Drugs, and Tobacco
Teen Dating Violence
Stress and Coping
Physical Activity
Personal and Community Violence
Conflict Resolution
Responsibility
Personal Empowerment
Respect
Self-esteem
Bullying and Relational Aggression
Understanding your Emotions
Communication
Nutrition
Sexually Transmitted Infections
Decision Making
Reproductive Health
Self Image and Self Esteem
Sexting and Social Media
Self Discipline",45-60 minutes (Period Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",5353 West Alabama,HOUSTON,,77056,The Women's Fund
WAM - What About Me? Program,Active,"Adolescent girls 4th through 9th grade participate in our WAM classes where they spend 10 weeks learning about health, resiliency, and making tough choices. They develop healthy attitudes and skills in a safe environment that allows them the freedom to share their stories without fear of embarrassment. WAM  is a skills based curriculum where Part I teaches  girls the skills needed to be advocates for their health, and Part II allows them to apply the skills learned to make healthy behavior choices.

Part I ? Skills to build resilience:

Positive Thinking
Goal Setting
Decision Making
Communication
Healthy Relationships
Personal and Community Violence

Part II ? Critical health behaviors:

Stress and Coping
Physical Activity
Nutrition
Alcohol, Tobacco and Other Drugs",45-60 minutes (Period Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",5353 West Alabama,HOUSTON,,77056,The Women's Fund
The Woods Project Club Program,Active,"We offer once a week meetings at our school or partner locations. We have trained instructors come out to campus with prepared lessons. Each lesson is prepared based on the groups' needs. We teach hard skills needed for the trip part of our programs (tent set-up, Leave No Trace, how to pack a backpack, use of camp stoves, lightning protocol, etc.) and soft skills (team building games, problem solving activities, trust exercises, etc.)",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",2700 Southwest Freeway,Houston,,77098,"The Woods Project, Inc."
The Woods Project Weekend Trips,Active,"We offer 7 weekend programs in the fall and 8 weekend programs in the spring for each partner to choose 1-2 weekends based on availability and interest. Students who participate in club program are given preference to attending trips unless teacher sponsor knows of conflict with them attending the weekly program. The weekend trips begin on Friday evening and go through Sunday morning. We do a wide variety of activities including but not limited to, backpacking, service work, biking, canoe/kayaking, etc. The goal of the weekend trips is to have the students get a better sense of what to expect on the summer program and begin to get outside of their comfort zones and camping in the woods. They begin to learn some of the character traits (adaptability, independence, curiosity, perseverance, environmental awareness, social intelligence, and critical thinking) that will help them achieve success in our future programs and outside of The Woods Project.",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",2700 Southwest Freeway,Houston,,77098,"The Woods Project, Inc."
The Woods Project Summer Trip,Active,"The summer program is the capstone piece of our program. We fly to California, Montana or Wisconsin with students and volunteers. It is a two week intensive program with a 5 or 7 night back country piece. The other part of the program is front country where the students will stay at a base camp and enjoy day hikes with a wilderness educator. The students are fully immersed in their experiences and really put to use the character traits we focus on developing (adaptability, independence, curiosity, perseverance, environmental awareness, social intelligence, and critical thinking). They are put in many situations outside of their comfort zones and begin to learn about themselves and the world around them. It is often the first time our students travel by plane, first time to summit a mountain, first time being away from home for that long and they achieve a tremendous amount of personal growth and transformation while experiencing so many firsts. The students have plenty of opportunities to learn alongside their peers and adult mentors.",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",2700 Southwest Freeway,Houston,,77098,"The Woods Project, Inc."
Athletes For Computer Science,Active,"This program uses the influence of professional athletes to teach computer science fundamentals to elementary aged kids.  We do this by using video conferencing to bring pro-athletes into the classroom teach and encourage students.  We use the code.org cirriculum which is fun, innovative and very affective at introducing kids to the world of computer science.  We conduct class once or twice a week based on the needs and availibilty of the school.",Either/Flexible,,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",75 N. Thatcher Bend Circle,Spring,,77389,The Wyms Foundation
Teacher Trainings,Active,TEACH works with teachers in small group sessions designed to give them practical strategies that enhance classroom management.,,,,Teacher Support & Professional Development,2900 Weslayan Street Suite 375,Houston,,77027,To Educate All Children (TEACH)
Teacher Coaching Support,Active,"TEACH provides each teacher with an individual coach to help educators implement new skills at their own pace, in their own classroom. Sessions take place in each teacher?s classroom, are strictly confidential, and serve as a genuine resource of support.",,,,Teacher Support & Professional Development,2900 Weslayan Street Suite 375,Houston,,77027,To Educate All Children (TEACH)
Admin Leadership Training,Active,TEACH provides training for principals and leadership teams.  It all starts at the top.,,,,Teacher Support & Professional Development,2900 Weslayan Street Suite 375,Houston,,77027,To Educate All Children (TEACH)
Character Does Matter,Active,Our veteran and surviving military family members present our program designed around Positive Psychology and a strengths-based approach to character development,Either/Flexible,,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",2929 McKinney Street,Houston,,77003,Travis Manion Foundation
TRIAD Truancy Class,Active,The TRIAD Truancy Class (TTC) is a truancy prevention and early intervention program that is offered at no cost to families in Harris County. TTC addresses the issues that may contribute to students with excessive absences in schools.,Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,Community Development,,,,,TRIAD Organization
Interns,Active,"Providing interns to help as master social workers. Will help with on campus logistics but will be extra set of eyes. All day.
Gabrielle Morton - Kashmere HS
Ashley Young - Cook ES
Brittany Sharpe - Paige ES",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","3511 Cullen Blvd., Room 110HA",Houston,,77204-4013,University of Houston Graduate College of Social Work
Life skills and Anger Management,Active,We will offer,45-60 minutes (Period Schedule),,On School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)",5519 Lawndale Street,Houston,,77023,"Unlimited Visions Aftercare, Inc."
"Unlimited Visions Aftercare, YRC",Active,,45-60 minutes (Period Schedule),,On School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)",5519 Lawndale Street,Houston,,77023,"Unlimited Visions Aftercare, Inc."
Salesforce Implementation,Active,Abc,,Pull out - Deliver services by pulling out students from class,,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",Oak Park Dr,Houston,,77070,Urgensee
Teen Health Clinic,Active,"Provides a medical home for young adults ages 11-21 years. Our staff is here to work with students and their families to meet the physical, mental, and emotional health care needs of our teen patients. As a special clinic for teens, we provide general check ups, immunizations, sports physical exams, chronic disease management, pregnancy testing, birth control, STD and HIV/AIDS education and screening, and case management services to teens and their families. We work closely with nutritionists, counselors, and psychiatrists in the same clinic.

How to make an appointment:
1.) Call the clinic at 713-486-2990
Tell the staff which clinic you would like to attend (Medical Center or Dashwood)
Tell the staff what you want to talk about during your visit.
Tell the staff if you have insurance or not.
Tell the staff the best phone number to reach out so we can remind you of your appointment.

Does not require parental consent for testing and treatment of STD's. Some other services will need parental consent. Bring photo ID and insurance card if possible.",,,,"Health (Medical, Dental, Vision, Nutrition)",6410 Fannin St. 5th floor,Houston,,77030,UT Health
College Readiness Program,Active,"UT Outreach-Houston?s mission is to provide college readiness services that will assist underrepresented high school students in graduating from high school and matriculating to an institution of higher education.

Attend one of the target public high schools
Receive the recommendation of a school administrator, teacher or counselor
Complete a UT Outreach application
Pursue the Texas Education Agency?s Recommended or Distinguished/Advanced High School Program
Complete Algebra I in the 8th grade, if course was available (Preferred)
Enrollment in at least one  core subject that serves as an advanced measure
Currently have a 3.2 GPA and  the ability to maintain at least an 80 average (Longhorn Pre-College Academy Cohort: Currently have a 3.5 GPA and/or rank in the Top 10% of their class)
UT Outreach-Houston staff will deliver services and programs that closely align with the State of Texas? College and Career Readiness Cross Disciplinary Standards and with The Texas Higher Education Coordinating Board?s ?Generation TX? College Readiness initiative. Each workshop, meeting or event will be focused on College Readiness and College Access. Topics for workshops, meetings and events include, but are not limited to, the following:

Resume and Personal Statement Writing
Financial Aid Application Assistance/Scholarship Assistance
Community Service
Leadership Development",,Pull out - Deliver services by pulling out students from class,On School Campus,,,,,,UT Outreach
n/a/,Active,,,,,"Health (Medical, Dental, Vision, Nutrition)",424 Hahlo Street,Houston,TX,77020,Vecino Health Center
Mentoring Program,Active,"teachers will mentor 6-8 assigned students, twice a week staring 1/29/18 to 5/31/18.",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",,Houston,TX,,Washington BT High School (Service Provider)
YDC Academic After School Tutorials,Active,"The after school program provides bus transportation from selected campuses, academic assistance for struggling students in classrooms supervised by degreed teachers and trained paraprofessionals.  A nutritious meal is provided at the beginning of the after school day.",,Pull out - Deliver services by pulling out students from class,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",7725 Sandra Street,Houston,TX,7016,Youth Development Center
YDC Enrichment Programs,Active,"On a weekly basis, YDC provides diverse enrichment opportunities through character development workshops, Boy and Girl Scout meetings, field trips to expand students' horizons, All about Me health seminar each spring, holiday celebrations, professional guest speakers, Literacy Carnival each fall, end-of-the-year family banquet to honor the students' achievements, and a three week summer enrichment program.",,,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",7725 Sandra Street,Houston,TX,7016,Youth Development Center
